,start_a,start_T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,final_distance,calc_time
147,0.9999,10000,11,22,14,17,18,15,19,4,10,20,13,24,27,23,8,28,1,21,6,12,9,5,26,29,3,2,16,25,7,2060,13.48659897
148,0.9999,10000,7,25,16,23,27,8,28,1,24,13,19,11,22,14,17,18,15,4,10,20,21,2,3,29,26,5,9,6,12,1931,13.39226508
149,0.9999,10000,3,29,26,9,12,6,28,1,8,27,24,16,19,15,11,22,14,17,18,20,2,5,21,13,10,4,25,7,23,2075,13.51636314
150,0.9999,10000,17,22,14,18,4,10,20,2,21,13,24,27,23,7,25,11,15,19,16,8,1,28,6,12,9,5,26,29,3,1931,13.53616405
151,0.99999,10000,3,29,26,5,9,12,6,28,1,21,13,19,16,24,8,27,23,7,25,11,22,14,17,18,15,4,10,20,2,1897,12.41988445
152,0.99999,10000,3,29,26,5,9,12,6,28,1,24,8,27,23,7,25,19,16,13,21,2,20,10,4,15,18,17,14,22,11,1825,11.3046492
153,0.99999,10000,7,25,11,22,14,17,18,15,4,10,20,13,19,16,24,27,23,8,28,1,21,2,3,29,26,5,9,6,12,1898,9.804959949
154,0.99999,10000,3,29,26,5,9,12,6,28,1,21,2,20,10,13,24,8,27,23,16,19,4,15,18,17,14,22,11,25,7,1811,7.450601947
155,0.99999,10000,7,23,27,8,24,16,25,11,22,14,17,18,15,4,19,13,10,20,2,21,1,28,6,12,9,5,26,29,3,1861,7.914353418
156,0.99999,10000,21,2,20,10,4,15,18,17,14,22,11,19,25,7,23,27,16,13,24,8,1,28,6,12,9,5,26,29,3,1857,7.611028663
157,0.99999,10000,3,29,26,5,9,12,6,28,1,8,27,23,7,25,19,16,24,13,21,2,20,10,4,15,18,17,14,22,11,1838,7.607322466
158,0.99999,10000,7,25,19,11,22,14,17,18,15,4,10,20,13,16,27,24,1,21,2,3,29,26,5,9,12,6,28,8,23,1885,7.979698567
159,0.99999,10000,8,1,28,6,12,9,5,26,29,3,2,21,20,10,4,15,18,17,14,22,11,19,13,24,27,23,16,25,7,1934,8.136835484
160,0.99999,10000,17,22,14,18,15,11,19,25,7,23,27,8,1,21,2,20,10,4,13,16,24,28,6,12,9,5,26,29,3,1893,8.159717902
161,0.99,100000,3,29,2,21,5,9,26,20,10,24,1,28,8,27,23,7,25,11,17,14,22,18,4,15,19,16,13,6,12,2288,0.115327835
162,0.99,100000,3,29,26,2,5,9,12,6,24,19,25,7,23,16,13,21,1,28,8,27,18,17,14,22,11,15,10,4,20,2393,0.105637074
163,0.99,100000,7,25,19,12,6,21,15,14,22,11,24,27,23,16,13,10,20,2,5,9,26,29,3,1,28,8,4,18,17,2694,0.105952978
164,0.99,100000,19,25,7,23,16,15,11,14,22,17,18,20,2,6,9,12,28,1,24,27,8,13,4,10,21,5,26,29,3,2324,0.103584051
165,0.99,100000,1,21,3,29,26,5,6,28,8,23,27,24,16,13,12,9,2,20,10,19,25,14,17,22,18,4,15,11,7,2474,0.099135876
166,0.99,100000,9,12,6,28,8,24,27,16,13,18,4,10,2,17,14,22,11,15,20,3,29,5,19,25,7,23,1,21,26,2866,0.102933884
167,0.99,100000,7,23,27,24,13,22,11,21,26,9,12,6,28,1,19,25,16,8,2,5,3,29,18,17,14,15,4,10,20,2902,0.107832909
168,0.99,100000,19,11,25,7,23,1,29,3,26,2,14,22,17,18,15,4,21,5,20,10,13,16,27,8,24,28,6,12,9,2608,0.102039814
169,0.99,100000,28,12,6,9,5,26,29,2,24,27,23,7,11,22,14,20,3,21,1,8,13,10,4,16,25,19,15,18,17,2628,0.103881121
170,0.99,100000,7,25,15,20,29,3,26,21,24,8,27,1,28,6,12,9,5,2,10,4,11,22,14,17,18,19,13,16,23,2373,0.103600979
171,0.999,100000,22,11,19,25,7,23,27,8,24,1,28,6,12,9,5,26,29,3,20,10,4,18,17,14,15,16,13,21,2,2130,1.042970896
172,0.999,100000,3,29,26,9,12,6,28,8,27,23,7,16,24,1,5,21,4,14,22,17,18,15,11,25,19,13,10,20,2,2254,1.108776093
173,0.999,100000,3,29,2,20,10,4,11,22,14,17,18,15,19,25,16,24,13,6,12,9,26,5,21,1,28,8,27,23,7,2068,1.009878159
174,0.999,100000,23,16,24,27,8,1,28,6,12,9,5,21,13,19,7,25,11,22,14,17,18,15,4,10,20,2,26,29,3,1963,1.004791021
175,0.999,100000,17,22,14,18,15,4,10,13,2,21,1,8,28,6,12,9,5,26,29,3,20,11,19,16,24,27,23,25,7,2129,1.028250933
176,0.999,100000,17,18,10,20,2,3,29,26,9,5,4,15,14,22,11,16,23,27,8,24,1,28,12,6,21,13,19,25,7,2286,1.033982992
177,0.999,100000,12,6,28,8,1,21,2,3,29,26,9,5,4,15,11,22,14,17,18,16,24,27,23,7,25,19,13,10,20,2211,1.030288935
178,0.999,100000,7,23,27,24,8,28,6,12,9,5,1,13,16,25,11,22,14,17,18,2,3,29,26,21,20,10,4,15,19,2295,1.013605118
179,0.999,100000,7,25,19,15,4,13,16,24,27,23,8,28,1,21,2,3,29,26,5,9,12,6,20,10,18,17,14,22,11,2038,1.00883007
180,0.999,100000,3,29,26,5,9,12,6,28,1,8,27,24,21,2,20,10,13,16,11,22,14,17,18,15,4,19,25,7,23,1928,1.031208992
